"","X.2","X.1","X.x","seaotter","scale","sex","relyear","relmonth","relsiteATOS","relage_d","strandage_d","strandsiteATOS","rel_date_real","mean_daily_ehs_sst","condition","days_in","relyear_first","surrogate","outcome","max_relnum","sst_loess_pred","sst_loess_se","sst_loess_resid","pdo_loess_pred","pdo_loess_se","pdo_loess_resid","enso_loess_pred","enso_loess_se","enso_loess_resid","date","mei_rank","pdo_index","scale_loess_pred","scale_loess_se","scale_loess_resid","X.y","FoodType.x","prop_foodtype_otter_sum.x","X","FoodType.y","prop_foodtype_otter_sum.y","percentlive"
"1",1,1,1,"209",1.64791086137983,"m",2002,2,383,205,14,754,"2002-02-13",11.76875,0.520810346984524,191,2002,"Joy","success",1,14.1179124607127,0.053047059306285,-2.34916246071274,0.400428917723892,0.223801199185423,-1.04042891772389,50.5705475395803,4.54417525738448,-16.5705475395803,2002-02-13,34,-0.64,2.6028651886783,0.610654681404542,-0.954954327298472,1,"Live",0.595525207031817,1,"Live",0.595525207031817,59.5525207031817
"2",2,2,2,"217",1.20620037883309,"m",2002,6,321,205,14,371,"2002-05-31",14.9895833333333,0.558635647827882,191,2002,"Toola","success",1,14.1344911821126,0.0463380458653734,0.855092151220717,0.466757409066797,0.187353598759823,-0.816757409066797,49.8870944624383,3.83854968214598,7.11290553756165,2002-05-31,57,-0.35,2.2595046019587,0.496062735672904,-1.05330422312561,2,"Live",0.760830222825472,2,"Live",0.760830222825472,76.0830222825472
"3",3,3,3,"225",6.0082119144665,"m",2002,8,383,203,14,405,"2002-08-15",15.7333333333333,NA,189,2002,"Toola","success",3,14.1441444956051,0.0429752219562372,1.58918883772827,0.494526587377888,0.171450400783323,0.105473412622112,49.5300168120956,3.52757568057016,8.46998318790435,2002-08-15,58,0.6,1.94712575165231,0.406743119347399,4.06108616281419,3,"Live",0.75,3,"Live",0.75,75
"4",4,4,4,"228",2.05339588178139,"m",2002,10,321,199,28,511,"2002-10-22",14.4666666666667,0.549753042510882,171,2002,"Toola","success",1,14.1510624378115,0.0408978811728913,0.315604228855143,0.517396862510624,0.157250932003368,-0.0973968625106243,49.1468696971189,3.24731753919268,9.85313030288107,2002-10-22,59,0.42,1.67014023660324,0.344631486139324,0.383255645178155,4,"Live",0.830164541365263,4,"Live",0.830164541365263,83.0164541365263
"5",5,5,5,"238",0.103536654878724,"m",2003,6,321,205,14,252,"2003-05-27",13.4583333333333,0.537275270106802,191,2003,"Joy","success",1,14.1619145113729,0.0390217585742628,-0.703581178039588,0.558917079111089,0.118050150018063,0.121082920888911,47.2675653285545,2.44790076971495,-13.2675653285545,2003-05-27,34,0.68,1.42335544871861,0.30920256286396,-1.31981879383989,NA,NA,NA,5,"Live",0.460626231944938,46.0626231944938
"6",6,6,6,"249",0.1,"m",2003,9,321,210,14,408,"2003-09-06",16.8604166666667,0.591634921841402,196,2003,"Toola","success",1,14.1625903761733,0.0396309012641989,2.69782629049338,0.559018583615948,0.110501860510879,-0.549018583615948,46.4860931114925,2.27974534052387,-1.48609311149254,2003-09-06,45,0.01,1.2025156029421,0.296836567589595,-1.1025156029421,5,"Live",0.534765005459429,6,"Live",0.534765005459429,53.4765005459429
"7",7,7,7,"252",0.036022513133644,"m",2003,10,321,233,21,617,"2003-10-14",13.34375,0.586964475990753,212,2003,"Joy","success",1,14.1626062584748,0.0399170483953661,-0.818856258474757,0.557306771357771,0.108786594915024,0.272693228642229,46.2198080738807,2.23882907986813,2.78019192611934,2003-10-14,49,0.83,1.00629221251885,0.298611589091208,-0.970269699385205,6,"Live",0.646843043629731,7,"Live",0.646843043629731,64.6843043629731
"8",8,8,8,"269",0.785553298675384,"m",2004,3,321,205,70,807,"2004-03-02",12.90625,0.55780525583715,135,2004,"Joy","success",1,14.1589417484751,0.0410813918684125,-1.25269174847508,0.532693493121556,0.105023933808222,0.0773065068784444,44.8494446669474,2.13290188757505,-11.8494446669474,2004-03-02,33,0.61,0.836389082661362,0.305756942147571,-0.0508357839859781,7,"Live",0.606230704462532,8,"Live",0.606230704462532,60.6230704462532
"9",9,9,9,"286",0.279541025803001,"f",2004,10,321,200,21,821,"2004-10-05",14.1833333333333,0.548580942964705,179,2004,"Joy","success",1,14.1352786530035,0.0425833663968076,0.0480546803298427,0.452154822394817,0.107543070515125,-0.562154822394817,42.6201986399983,2.1541457266719,4.37980136000165,2004-10-05,47,-0.11,0.693098866264323,0.314354821929452,-0.413557840461322,8,"Live",0.423959871473684,9,"Live",0.423959871473684,42.3959871473684
"10",10,10,10,"315",1.39171379069221,"m",2005,6,321,187,3,916,"2005-06-20",14.775,0.562131817442751,184,2005,"Joy","success",2,14.0985999546386,0.0446122310171553,0.676400045361445,0.297655415691946,0.11281083836404,0.872344584308054,40.0393473935222,2.26337116373657,6.96065260647782,2005-06-20,47,1.17,0.576714216222415,0.322105506390418,0.814999574469794,9,"Live",0.309737806984561,10,"Live",0.309737806984561,30.9737806984561
"11",11,11,11,"327",1.33411646407737,"f",2005,10,321,210,3,812,"2005-10-17",13.6708333333333,0.547690003174296,207,2005,"Toola","success",3,14.0513254558425,0.0447205069047658,-0.380492122509185,0.193160737477215,0.114612426156378,-1.51316073747722,38.528220849428,2.30004919677884,-9.52822084942802,2005-10-17,29,-1.32,0.487527785430323,0.32693750340881,0.846588678647047,10,"Live",0.55746272636543,11,"Live",0.55746272636543,55.746272636543
"12",12,12,12,"339",0.335212463465657,"f",2006,4,321,210,28,291,"2006-04-25",13.9229166666667,0.541353627316684,182,2006,"Joy","success",3,13.8858145121949,0.0435745874028517,0.0371021544717181,0.0191320241602601,0.115708174120085,0.38086797583974,36.4996627396021,2.3397437759567,-19.4996627396021,2006-04-25,17,0.4,0.450219252260527,0.321756388296547,-0.11500678879487,11,"Live",0.215207673095893,12,"Live",0.215207673095893,21.5207673095893
"13",13,13,13,"344",0.01,"m",2006,6,321,218,28,273,"2006-06-19",15,0.595506219898131,190,2006,"Rosa","success",1,13.835804493638,0.0440647753288667,1.16419550636199,-0.0633982747413273,0.116588637398456,1.10339827474133,35.8149486608449,2.33883194813203,10.1850513391551,2006-06-19,46,1.04,0.47047157428152,0.314009621873947,-0.46047157428152,12,"Live",0.263521932561488,13,"Live",0.263521932561488,26.3521932561488
"14",14,14,14,"353",0.750435325232586,"f",2006,10,321,223,42,806,"2006-10-07",15.5979166666667,0.557431213512033,181,2006,"Toola","success",1,13.7623333355096,0.0449815004887684,1.8355833311571,-0.221741690093343,0.120405945023243,0.171741690093343,34.293372330622,2.3631496921986,21.706627669378,2006-10-07,56,-0.05,0.520082323181998,0.319041847663665,0.230353002050588,13,"Live",0.289241272550459,14,"Live",0.289241272550459,28.9241272550459
"15",15,15,15,"379",0.246112715794125,"f",2007,8,321,250,14,380,"2007-08-13",15.5510416666667,0.57817508549304,236,2007,"Rosa","success",2,13.6087180237075,0.0442123246123581,1.94232364295914,-0.472208869819098,0.119094844822847,0.972208869819098,31.4752731868353,2.41172875300662,-13.4752731868353,2007-08-13,18,0.5,0.570849070650659,0.335340015554247,-0.324736354856534,14,"Live",0.497675107359692,15,"Live",0.497675107359692,49.7675107359692
"16",16,16,16,"386",0.826183326710291,"m",2007,10,321,267,21,289,"2007-10-26",13.8333333333333,0.582010158399817,246,2007,"Rosa","success",1,13.5797540822432,0.0449174601578844,0.253579251090153,-0.515196200833885,0.120556683112813,-0.934803799166115,31.1562987264153,2.39381359852889,-22.1562987264153,2007-10-26,9,-1.45,0.594569388376202,0.345489093123809,0.231613938334089,15,"Live",0.609140482134112,16,"Live",0.609140482134112,60.9140482134112
"17",17,17,17,"433",0.0108227528092048,"f",2008,11,321,268,42,467,"2008-10-28",NA,0.58784832486263,226,2008,"Maggie","success",1,NA,NA,NA,-0.66670717138557,0.12115938832915,-0.58329282861443,28.3431414944811,2.39381359852889,-9.3431414944811,2008-10-28,19,-1.25,0.597659132831328,0.335101179658247,-0.586836380022123,16,"Live",0.321291306219197,17,"Live",0.321291306219197,32.1291306219197
"18",18,18,18,"451",0.780625795073092,"m",2009,7,321,303,14,273,"2009-07-20",15.4552083333333,0.569181104586114,289,2009,"Toola","success",2,13.5146666037206,0.043532854054568,1.94054172961271,-0.759441376011744,0.118597810152685,0.229441376011744,26.7792268770733,2.45219090970904,33.2207731229267,2009-07-20,60,-0.53,0.606139358853358,0.320096676819439,0.174486436219734,17,"Live",0.440019529193272,18,"Live",0.440019529193272,44.0019529193272
"19",19,19,19,"457",1.69767449073382,"f",2009,12,321,328,14,427,"2009-12-20",12.8333333333333,0.524056882226943,314,2009,"Joy","success",3,13.5067942165113,0.0444186462549214,-0.673460883177984,-0.802718234364958,0.121403856410845,0.882718234364958,26.468507497711,2.40181734480077,30.531492502289,2009-12-20,57,0.08,0.621215435677915,0.320096676819439,1.07645905505591,18,"Live",0.56797865908495,19,"Live",0.56797865908495,56.797865908495
"20",20,20,20,"466",0.60280178967362,"m",2010,3,321,361,35,812,"2010-03-26",13.5677083333333,0.641886133257644,326,2010,"Rosa","success",1,13.5033256263375,0.0449523101621299,0.0643827069958149,-0.836247145856805,0.119802441807054,1.27624714585681,26.4250744474791,2.42722621460762,37.5749255525209,2010-03-26,64,0.44,0.644092732540623,0.335101179658246,-0.0412909428670032,19,"Live",0.499391105265722,20,"Live",0.499391105265722,49.9391105265722
"21",21,21,21,"473",0.108885631440466,"f",2010,6,321,280,14,409,"2010-06-22",13.8645833333333,0.583807033201465,266,2010,"Mae","success",1,13.4895617012697,0.0441436550127615,0.375021632063602,-0.878206112358071,0.11841952794733,0.658206112358071,26.4906812632488,2.45669281468054,-6.49068126324879,2010-06-22,20,-0.22,0.675976618677106,0.345489093123809,-0.56709098723664,20,"Live",0.498594046514205,21,"Live",0.498594046514205,49.8594046514205
"22",22,22,22,"475",0.569759461381734,"f",2010,11,321,368,1,897,"2010-11-02",14.1270833333333,0.619107670048471,367,2010,"Rosa","success",2,13.4575587927727,0.0435525645668593,0.669524540560639,-0.920376685973186,0.12115938832915,0.100376685973186,26.581888403074,2.40017263931019,-22.581888403074,2010-11-02,4,-0.82,0.736289825847631,0.336495747937195,-0.166530364465897,21,"Live",0.460784211649687,22,"Live",0.460784211649687,46.0784211649687
"23",23,23,23,"501",0.280666869713198,"f",2011,5,321,335,3,810,"2011-05-08",13.5364583333333,0.605164266837205,332,2011,"Toola","success",2,13.4531327683043,0.0449486426858459,0.0833255650290319,-0.950038539158529,0.118597810152685,0.580038539158529,26.9313112691128,2.44092147382709,-3.93131126911279,2011-05-08,23,-0.37,0.813182418837138,0.336495747937195,-0.53251554912394,22,"Live",0.425989198721481,23,"Live",0.425989198721481,42.5989198721481
"24",24,24,24,"518",0.0223363343041632,"f",2011,12,321,414,3,723,"2011-12-08",11.1333333333333,0.601135840810269,411,2011,"Joy","success",2,13.4474141705549,0.0435238849940725,-2.31408083722159,-0.952521120946575,0.121403856410844,-0.837478879053425,27.7367324539356,2.40017263931019,-14.7367324539356,2011-12-08,13,-1.79,0.860950766418256,0.345489093123809,-0.838614432114093,23,"Live",0.363223111806213,24,"Live",0.363223111806213,36.3223111806213
"25",25,25,25,"520",2.82869961796281,"m",2011,10,321,326,42,822,"2011-10-12",16.31875,0.640630693282291,284,2011,"Rosa","success",1,13.4506230131986,0.0435328540545679,2.86812698680138,-0.977330249449243,0.120556683112813,-0.362669750550758,27.6367042336943,2.42629686289276,-13.6367042336943,2011-10-12,14,-1.34,0.867242405027624,0.336495747937195,1.96145721293519,24,"Live",0.429366159673315,25,"Live",0.429366159673315,42.9366159673315
"26",26,26,26,"526",0.0223532132643486,"m",2011,11,321,319,42,916,"2011-11-14",12.7614583333333,0.579591042344489,277,2011,"Mae","success",1,13.4483286016419,0.0434645442288343,-0.686870268308528,-0.968715387575129,0.12115938832915,-1.36128461242487,27.6942244684838,2.41172875300662,-11.6942244684838,2011-11-14,16,-2.33,0.86073046789405,0.336495747937195,-0.838377254629702,25,"Live",0.434248512434286,26,"Live",0.434248512434286,43.4248512434286
"27",27,27,27,"558",1.14619392898968,"m",2012,8,321,360,35,184,"2012-08-08",16.553125,0.640799371009481,325,2012,"Rosa","success",2,13.5558278570124,0.0445508554217008,2.99729714298759,-0.760112216061392,0.119094844822847,-1.16988778393861,28.9318767823579,2.45669281468054,19.0681232176421,2012-08-08,48,-1.93,0.857249718978427,0.345489093123809,0.288944210011253,26,"Live",0.589106284058655,27,"Live",0.589106284058655,58.9106284058655
"28",28,28,28,"587",0.949034643335069,"f",2012,10,321,205,7,920,"2012-10-02",15.4875,0.588868176819803,198,2012,"Rosa","success",3,13.6302740586991,0.0439348756944672,1.85722594130086,-0.697888111557865,0.120556683112813,-0.092111888442135,30.0805118013221,2.44092147382709,5.91948819867793,2012-10-02,36,-0.79,0.843010051577538,0.335340015554247,0.106024591757531,27,"Live",0.526142007605181,28,"Live",0.526142007605181,52.6142007605181
"29",29,29,29,"595",1.36832532232656,"f",2013,4,321,295,7,806,"2013-04-17",12.3979166666667,0.600383161128025,288,2013,"Mae","success",4,13.9489982338937,0.0443389110815682,-1.55108156722706,-0.37810145433202,0.118301473453886,0.21810145433202,36.0944143349347,2.40017263931019,-2.09441433493467,2013-04-17,34,-0.16,0.80779692474481,0.319041847663665,0.56052839758175,NA,NA,NA,29,"Live",0.384391515239267,38.4391515239267
"30",30,30,30,"621",1.0877811249243,"m",2013,11,321,309,35,233,"2013-11-04",13.1635416666667,0.621310909036158,274,2013,"Rosa","success",2,14.2049632498144,0.0440315672223294,-1.04142158314771,0.160416626624226,0.115739639115145,-0.270416626624226,41.5182738059778,2.4373490008238,-6.5182738059778,2013-11-04,35,-0.11,0.772808451076098,0.314009621873947,0.314972673848202,28,"Live",0.27302648308933,30,"Live",0.27302648308933,27.302648308933
"31",31,31,31,"623",0.656076718933437,"m",2014,3,321,381,2,823,"2014-03-11",13.9989583333333,0.659656650242989,379,2014,"Abby","success",2,14.4225507951367,0.0435745874028517,-0.423592461803356,0.332506792982023,0.114611341109439,0.637493207017977,44.6285678135221,2.36251763475087,-8.62856781352214,2014-03-11,36,0.97,0.759242743167255,0.321756388296547,-0.103166024233818,29,"Live",0.346387874764908,31,"Live",0.346387874764908,34.6387874764908
"32",32,32,32,"653",0.01,"f",2014,9,321,305,42,908,"2014-09-27",17.2395833333333,0.583079732070541,263,2014,"Kit","success",1,14.6453437795093,0.0448784470475978,2.59423955382405,0.616541549806885,0.11187360586521,0.463458450193115,48.1242078128506,2.33678429249957,0.875792187149443,2014-09-27,49,1.08,0.788297913614135,0.326937503408811,-0.778297913614135,30,"Live",0.451211544586637,32,"Live",0.451211544586637,45.1211544586637
"33",33,33,33,"657",0.168890689596132,"f",2014,12,321,330,14,387,"2014-12-27",13.953125,0.609577778853092,316,2014,"Rosa","success",1,14.6696800374306,0.0439827506699609,-0.716555037430592,0.722770704426916,0.109833347939218,1.78722929557308,48.7259867913816,2.316409002276,-0.725986791381558,2014-12-27,48,2.51,0.849539632949969,0.322105506390419,-0.680648943353838,31,"Live",0.510916679237693,33,"Live",0.510916679237693,51.0916679237693
"34",34,34,34,"671",0.0148731831439171,"f",2015,5,321,308,3,909,"2015-04-29",14.1114583333333,0.593069844505754,305,2015,"Abby","success",1,14.671664210218,0.0428685908889323,-0.560205876884666,0.866914216826422,0.106269744671332,0.333085783173578,49.3790620779417,2.27217154101434,13.6209379220583,2015-04-29,63,1.2,0.923325996434897,0.314354821929452,-0.908452813290979,32,"Live",0.483853395221523,34,"Live",0.483853395221523,48.3853395221523
"35",35,35,35,"673",1.67083760469333,"m",2015,7,321,362,3,730,"2015-07-14",18.4135416666667,0.6299875323806,359,2015,"Gidget","success",3,14.6678398998818,0.0425892951627042,3.74570176678491,0.922497198906594,0.105400714903718,0.917502801093406,49.4669744538787,2.25136710339124,18.5330255461213,2015-07-14,68,1.84,1.01704375375513,0.305756942147571,0.653793850938202,33,"Live",0.336337494405881,35,"Live",0.336337494405881,33.6337494405881
"36",36,36,36,"685",1.90335436885436,"f",2015,9,321,340,42,247,"2015-09-22",17.9479166666667,0.593395575455832,298,2015,"Ivy","success",1,14.6688714517999,0.0422936743771432,3.27904521486679,0.972132066460295,0.105017427504888,0.967867933539705,49.4296934269338,2.22580107694373,18.5703065730662,2015-09-22,68,1.94,1.13807965459688,0.298611589091208,0.765274714257485,34,"Live",0.408143423160143,36,"Live",0.408143423160143,40.8143423160143
"37",37,37,37,"687",0.977435740842112,"m",2015,10,321,335,14,808,"2015-10-27",16.8729166666667,0.65333302481162,321,2015,"Kit","success",4,14.6720319791157,0.0420323725996547,2.20088468755099,0.993726721868089,0.105054092531735,0.476273278131911,49.3586564925764,2.21042839330233,18.6413435074236,2015-10-27,68,1.47,1.29382044864635,0.296836567589595,-0.316384707804238,35,"Live",0.501639484711124,37,"Live",0.501639484711124,50.1639484711123
"38",38,38,38,"716",1.06285463731792,"f",2017,3,321,508,1,824,"2017-03-09",13.0239583333333,0.607913390595795,507,2017,"Abby","success",3,14.5722082223793,0.0391615423865097,-1.54824988904601,1.0904877347637,0.157268439488151,-0.350487734763704,44.5945396258167,2.27974534052387,-13.5945396258167,2017-03-09,31,0.74,1.4833715581302,0.30900475704731,-0.420516920812284,36,"Live",0.644564749261422,38,"Live",0.644564749261422,64.4564749261422
"39",39,39,39,"723",1.69277066725548,"f",2017,8,382,563,49,258,"2017-08-03",15.3052083333333,0.63712982144622,514,2017,"Ivy","success",1,14.4927723021697,0.041861694233134,0.812436031163616,1.00384736429709,0.19594838446539,-0.913847364297091,41.6833613116917,2.59949791919778,-8.68336131169175,2017-08-03,33,0.09,1.7007845537085,0.344498784651183,-0.0080138864530197,37,"Live",0.523716563490655,39,"Live",0.523716563490655,52.3716563490655
"40",40,40,40,"774",2.05233618883718,"m",2018,2,397,364,35,245,"2018-02-21",12.0083333333333,0.66390746340816,329,2018,"Selka","success",1,14.3495758575444,0.0520351185636637,-2.34124252421107,NA,NA,NA,37.1921288372181,3.24731753919268,-22.1921288372181,2018-02-21,15,NA,1.94586540771757,0.40733898698045,0.10647078111961,38,"Live",0.516819881477882,40,"Live",0.516819881477882,51.6819881477882
"41",41,41,41,"808",2.02858823625299,"m",2018,9,422,322,49,426,"2018-09-13",15.621875,0.650504311857971,273,2018,"Rosa","success",1,14.1731851765242,0.0706805737361887,1.44868982347577,NA,NA,NA,30.4802800877157,4.35809076344054,17.5197199122843,2018-09-13,48,NA,2.21842009249375,0.496938289603976,-0.189831856240757,39,"Live",0.503055218095569,41,"Live",0.503055218095569,50.3055218095569
"42",42,42,42,"809",2.78897332359387,"m",2018,9,422,271,24,274,"2018-09-13",15.621875,0.604450914831661,247,2018,"Abby","success",1,14.1731851765242,0.0706805737361887,1.44868982347577,NA,NA,NA,30.4802800877157,4.35809076344054,17.5197199122843,2018-09-13,48,NA,2.51825458037336,0.610711076268996,0.270718743220508,40,"Live",0.50257008081613,42,"Live",0.50257008081613,50.257008081613
