"","seaotter","scale","rel_date","sex","relnum.x","relyear","relmonth","relsiteATOS","relage_d","strandage_d","strandsiteATOS","rel_date_real","date","mean_temp","year","otter","relnum.y","reldate","relweightdate","weightkg","bcindxdate","lengthcm","weightkg.1","w_v_l_date","condition","days_in","relyear_first","surrogate","outcome","FoodType.x","prop_foodtype_otter_sum","percentlive","FoodType.y","prop_foodtype_day_mean","percentlive_mean"
"1","209",1.64791086137983,"2/13/2002","m",1,2002,2,383,205,14,754,2002-02-13,2002-02-13,11.76875,2002,209,1,2002-02-13,2002-02-04,13.4,2001-12-10,97.3,10.85,56,0.520810346984524,191,2002,"Joy","success","Live",0.595525207031817,59.5525207031817,"Live",0.609458867136384,60.9458867136384
"2","217",1.20620037883309,"5/31/2002","m",1,2002,6,321,205,14,371,2002-05-31,2002-05-31,14.9895833333333,2002,217,1,2002-05-31,2002-05-31,15.55,2002-03-26,100,13.1,66,0.558635647827882,191,2002,"Toola","success","Live",0.760830222825472,76.0830222825472,"Live",0.775007786623018,77.5007786623018
"3","225",6.0082119144665,"8/15/2002","m",1,2002,8,383,203,14,405,2002-08-15,2002-08-15,15.7333333333333,2002,225,1,2002-08-15,2002-08-14,19.3,NA,NA,NA,NA,NA,189,2002,"Toola","success","Live",0.75,75,"Live",0.771884531405583,77.1884531405583
"4","228",2.05339588178139,"10/22/2002","m",1,2002,10,321,199,28,511,2002-10-22,2002-10-22,14.4666666666667,2002,228,1,2002-10-22,2002-10-21,14.8,2002-09-12,98.2,12.45,39,0.549753042510882,171,2002,"Toola","success","Live",0.830164541365263,83.0164541365263,"Live",0.819758729545816,81.9758729545816
"5","238",0.103536654878724,"5/27/2003","m",1,2003,6,321,205,14,252,2003-05-27,2003-05-27,13.4583333333333,2003,238,1,2003-05-27,2003-05-24,16,2003-03-12,95,11.55,73,0.537275270106802,191,2003,"Joy","success","Live",0.460626231944938,46.0626231944938,"Live",0.507414515609175,50.7414515609175
"6","249",0.1,"9/6/2003","m",1,2003,9,321,210,14,408,2003-09-06,2003-09-06,16.8604166666667,2003,249,1,2003-09-06,2003-09-06,16.65,2003-07-31,100,15.25,37,0.591634921841402,196,2003,"Toola","success","Live",0.534765005459429,53.4765005459429,"Live",0.55834741730187,55.834741730187
"7","252",0.036022513133644,"10/14/2003","m",1,2003,10,321,233,21,617,2003-10-14,2003-10-14,13.34375,2003,252,1,2003-10-14,2003-10-14,16.7,2003-09-23,102,15.1,21,0.586964475990753,212,2003,"Joy","success","Live",0.646843043629731,64.6843043629731,"Live",0.662330507673267,66.2330507673267
"8","269",0.785553298675384,"3/2/2004","m",1,2004,3,321,205,70,807,2004-03-02,2004-03-02,12.90625,2004,269,1,2004-03-02,2004-02-25,14.2,2004-01-14,100,13.05,42,0.55780525583715,135,2004,"Joy","success","Live",0.606230704462532,60.6230704462532,"Live",0.610194740916369,61.0194740916369
"9","286",0.279541025803001,"10/5/2004","f",1,2004,10,321,200,21,821,2004-10-05,2004-10-05,14.1833333333333,2004,286,1,2004-10-05,2004-10-05,12.7,2004-09-01,97,12.3,34,0.548580942964705,179,2004,"Joy","success","Live",0.423959871473684,42.3959871473684,"Live",0.491983605910106,49.1983605910106
"10","315",1.39171379069221,"6/20/2005","m",1,2005,6,321,187,3,916,2005-06-20,2005-06-20,14.775,2005,315,1,2005-06-20,2005-06-20,16.3,2005-05-18,98.5,13.2,33,0.562131817442751,184,2005,"Joy","success","Live",0.309737806984561,30.9737806984561,"Live",0.338942438845853,33.8942438845853
"11","327",1.33411646407737,"10/17/2005","f",1,2005,10,321,210,3,812,2005-10-17,2005-10-17,13.6708333333333,2005,327,1,2005-10-17,2005-10-17,13,2005-09-07,92,11.9,40,0.547690003174296,207,2005,"Toola","success","Live",0.55746272636543,55.746272636543,"Live",0.602467108577312,60.2467108577312
"12","339",0.335212463465657,"4/25/2006","f",1,2006,4,321,210,28,291,2006-04-25,2006-04-25,13.9229166666667,2006,339,1,2006-04-25,2006-04-25,13.9,2006-03-14,95.5,11.8,42,0.541353627316684,182,2006,"Joy","success","Live",0.215207673095893,21.5207673095893,"Live",0.317667923355277,31.7667923355277
"13","344",0.01,"6/19/2006","m",1,2006,6,321,218,28,273,2006-06-19,2006-06-19,15,2006,344,1,2006-06-19,2006-06-19,16.9,2006-05-02,103,15.8,48,0.595506219898131,190,2006,"Rosa","success","Live",0.263521932561488,26.3521932561488,"Live",0.366950194374088,36.6950194374088
"14","353",0.750435325232586,"10/7/2006","f",1,2006,10,321,223,42,806,2006-10-07,2006-10-07,15.5979166666667,2006,353,1,2006-10-07,2006-10-05,14.3,2006-08-16,101,13.1,50,0.557431213512033,181,2006,"Toola","success","Live",0.289241272550459,28.9241272550459,"Live",0.356265657151962,35.6265657151962
"15","379",0.246112715794125,"8/13/2007","f",1,2007,8,321,250,14,380,2007-08-13,2007-08-13,15.5510416666667,2007,379,1,2007-08-13,2007-08-13,17.2,2007-05-31,97.2,14.1,74,0.57817508549304,236,2007,"Rosa","success","Live",0.497675107359692,49.7675107359692,"Live",0.527861566756284,52.7861566756284
"16","386",0.826183326710291,"10/26/2007","m",1,2007,10,321,267,21,289,2007-10-26,2007-10-26,13.8333333333333,2007,386,1,2007-10-26,2007-10-26,19.4,2007-07-19,102.5,14.8,99,0.582010158399817,246,2007,"Rosa","success","Live",0.609140482134112,60.9140482134112,"Live",0.644209810862364,64.4209810862364
"17","433",0.0108227528092048,"10/28/2008","f",1,2008,11,321,268,42,467,2008-10-28,2008-10-28,NA,NA,433,1,2008-10-28,2008-10-28,16.3,2008-10-16,105.9,15.5,12,0.58784832486263,226,2008,"Maggie","success","Live",0.321291306219197,32.1291306219197,"Live",0.343826009420988,34.3826009420988
"18","451",0.780625795073092,"7/20/2009","m",1,2009,7,321,303,14,273,2009-07-20,2009-07-20,15.4552083333333,2009,451,1,2009-07-20,2009-07-20,20.3,2009-02-26,101.9,13.9,144,0.569181104586114,289,2009,"Toola","success","Live",0.440019529193272,44.0019529193272,"Live",0.480476629512581,48.0476629512581
"19","457",1.69767449073382,"12/20/2009","f",1,2009,12,321,328,14,427,2009-12-20,2009-12-20,12.8333333333333,2009,457,1,2009-12-20,2009-12-17,15.4,2009-07-09,92.1,10.7,161,0.524056882226943,314,2009,"Joy","success","Live",0.56797865908495,56.797865908495,"Live",0.616264082095568,61.6264082095568
"20","466",0.60280178967362,"3/26/2010","m",1,2010,3,321,361,35,812,2010-03-26,2010-03-26,13.5677083333333,2010,466,1,2010-03-26,2010-03-26,22.4,2010-03-01,111.4,20.6,25,0.641886133257644,326,2010,"Rosa","success","Live",0.499391105265722,49.9391105265722,"Live",0.535628976940282,53.5628976940282
"21","473",0.108885631440466,"6/22/2010","f",1,2010,6,321,280,14,409,2010-06-22,2010-06-22,13.8645833333333,2010,473,1,2010-06-22,2010-06-22,15.6,2010-06-01,103.4,15,21,0.583807033201465,266,2010,"Mae","success","Live",0.498594046514205,49.8594046514205,"Live",0.52683016660609,52.683016660609
"22","475",0.569759461381734,"11/2/2010","f",1,2010,11,321,368,1,897,2010-11-02,2010-11-02,14.1270833333333,2010,475,1,2010-11-02,2010-11-02,20.5,2010-10-07,110.4,18.4,26,0.619107670048471,367,2010,"Rosa","success","Live",0.460784211649687,46.0784211649687,"Live",0.472343041973324,47.2343041973324
"23","501",0.280666869713198,"5/8/2011","f",1,2011,5,321,335,3,810,2011-05-08,2011-05-08,13.5364583333333,2011,501,1,2011-05-08,2011-05-08,18,2011-06-02,115.4,17.7,-25,0.605164266837205,332,2011,"Toola","success","Live",0.425989198721481,42.5989198721481,"Live",0.455469642308056,45.5469642308056
"24","518",0.0223363343041632,"12/8/2011","f",1,2011,12,321,414,3,723,2011-12-08,2011-12-08,11.1333333333333,2011,518,1,2011-12-08,2011-12-08,18.5,2011-10-05,106,16.5,64,0.601135840810269,411,2011,"Joy","success","Live",0.363223111806213,36.3223111806213,"Live",0.412919388209918,41.2919388209918
"25","520",2.82869961796281,"10/12/2011","m",1,2011,10,321,326,42,822,2011-10-12,2011-10-12,16.31875,2011,520,1,2011-10-12,2011-10-12,21.4,2011-10-06,115,20.9,6,0.640630693282291,284,2011,"Rosa","success","Live",0.429366159673315,42.9366159673315,"Live",0.457406205275328,45.7406205275328
"26","526",0.0223532132643486,"11/14/2011","m",1,2011,11,321,319,42,916,2011-11-14,2011-11-14,12.7614583333333,2011,526,1,2011-11-14,2011-11-14,23.3,2011-06-21,104.5,14.8,146,0.579591042344489,277,2011,"Mae","success","Live",0.434248512434286,43.4248512434286,"Live",0.52262436649379,52.262436649379
"27","558",1.14619392898968,"8/8/2012","m",1,2012,8,321,360,35,184,2012-08-08,2012-08-08,16.553125,2012,558,1,2012-08-08,2012-08-06,21.2,2012-06-28,114,20.8,39,0.640799371009481,325,2012,"Rosa","success","Live",0.589106284058655,58.9106284058655,"Live",0.603296931587766,60.3296931587766
"28","587",0.949034643335069,"10/2/2012","f",1,2012,10,321,205,7,920,2012-10-02,2012-10-02,15.4875,2012,587,1,2012-10-02,2012-10-02,15.4,2012-09-26,103.9,15.4,6,0.588868176819803,198,2012,"Rosa","success","Live",0.526142007605181,52.6142007605181,"Live",0.537906816924446,53.7906816924446
"29","595",1.36832532232656,"4/17/2013","f",1,2013,4,321,295,7,806,2013-04-17,2013-04-17,12.3979166666667,2013,595,1,2013-04-17,2013-04-17,17.4,2013-04-03,107.7,16.6,14,0.600383161128025,288,2013,"Mae","success","Live",0.384391515239267,38.4391515239267,"Live",0.404955571430894,40.4955571430894
"30","621",1.0877811249243,"11/4/2013","m",1,2013,11,321,309,35,233,2013-11-04,2013-11-04,13.1635416666667,2013,621,1,2013-11-04,2013-11-04,21.1,2013-08-20,104.8,18,76,0.621310909036158,274,2013,"Rosa","success","Live",0.27302648308933,27.302648308933,"Live",0.31259568135681,31.259568135681
"31","623",0.656076718933437,"3/11/2014","m",1,2014,3,321,381,2,823,2014-03-11,2014-03-11,13.9989583333333,2014,623,1,2014-03-11,2014-03-11,25.2,2014-04-07,119.8,23.5,-27,0.659656650242989,379,2014,"Abby","success","Live",0.346387874764908,34.6387874764908,"Live",0.378341378984793,37.8341378984793
"32","653",0.01,"9/27/2014","f",1,2014,9,321,305,42,908,2014-09-27,2014-09-27,17.2395833333333,2014,653,1,2014-09-27,2014-09-27,18.1,2014-07-23,104,15,66,0.583079732070541,263,2014,"Kit","success","Live",0.451211544586637,45.1211544586637,"Live",0.455509467604587,45.5509467604587
"33","657",0.168890689596132,"12/27/2014","f",1,2014,12,321,330,14,387,2014-12-27,2014-12-27,13.953125,2014,657,1,2014-12-27,2014-12-27,19.1,2014-11-14,111.5,17.7,43,0.609577778853092,316,2014,"Rosa","success","Live",0.510916679237693,51.0916679237693,"Live",0.514637349365353,51.4637349365353
"34","671",0.0148731831439171,"4/29/2015","f",1,2015,5,321,308,3,909,2015-04-29,2015-04-29,14.1114583333333,2015,671,1,2015-04-29,2015-04-29,17,2015-04-09,109.5,16.2,20,0.593069844505754,305,2015,"Abby","success","Live",0.483853395221523,48.3853395221523,"Live",0.490161199268131,49.0161199268131
"35","673",1.67083760469333,"7/14/2015","m",1,2015,7,321,362,3,730,2015-07-14,2015-07-14,18.4135416666667,2015,673,1,2015-07-14,2015-07-14,23.2,2015-07-02,119.9,20.4,12,0.6299875323806,359,2015,"Gidget","success","Live",0.336337494405881,33.6337494405881,"Live",0.353651686865444,35.3651686865444
"36","685",1.90335436885436,"9/22/2015","f",1,2015,9,321,340,42,247,2015-09-22,2015-09-22,17.9479166666667,2015,685,1,2015-09-22,2015-09-22,17,2015-09-14,111.5,16.4,8,0.593395575455832,298,2015,"Ivy","success","Live",0.408143423160143,40.8143423160143,"Live",0.416617457599205,41.6617457599205
"37","687",0.977435740842112,"10/27/2015","m",1,2015,10,321,335,14,808,2015-10-27,2015-10-27,16.8729166666667,2015,687,1,2015-10-27,2015-10-26,22.8,2015-10-15,117.4,22.5,11,0.65333302481162,321,2015,"Kit","success","Live",0.501639484711124,50.1639484711123,"Live",0.510753329816233,51.0753329816233
"38","716",1.06285463731792,"3/9/2017","f",1,2017,3,321,508,1,824,2017-03-09,2017-03-09,13.0239583333333,2017,716,1,2017-03-09,2017-03-09,19,2017-02-20,114,17.8,17,0.607913390595795,507,2017,"Abby","success","Live",0.644564749261422,64.4564749261422,"Live",0.646842028743568,64.6842028743568
"39","723",1.69277066725548,"8/3/2017","f",1,2017,8,382,563,49,258,2017-08-03,2017-08-03,15.3052083333333,2017,723,1,2017-08-03,2017-08-03,22.3,2017-07-25,122.5,21.4,9,0.63712982144622,514,2017,"Ivy","success","Live",0.523716563490655,52.3716563490655,"Live",0.509563260324898,50.9563260324898
"40","774",2.05233618883718,"2/21/2018","m",1,2018,2,397,364,35,245,2018-02-21,2018-02-21,12.0083333333333,2018,774,1,2018-02-21,2018-02-15,24.8,2018-02-15,126,24.8,0,0.66390746340816,329,2018,"Selka","success","Live",0.516819881477882,51.6819881477882,"Live",0.526312557531849,52.6312557531849
"41","808",2.02858823625299,"9/13/2018","m",1,2018,9,422,322,49,426,2018-09-13,2018-09-13,15.621875,2018,808,1,2018-09-13,2018-09-13,23.4,2018-09-05,121.5,22.7,8,0.650504311857971,273,2018,"Rosa","success","Live",0.503055218095569,50.3055218095569,"Live",0.502168934884291,50.2168934884291
"42","809",2.78897332359387,"9/13/2018","m",1,2018,9,422,271,24,274,2018-09-13,2018-09-13,15.621875,2018,809,1,2018-09-13,2018-09-13,17.9,2018-09-05,107.5,16.9,8,0.604450914831661,247,2018,"Abby","success","Live",0.50257008081613,50.257008081613,"Live",0.501919367783263,50.1919367783263
